Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
"""Afternoon Tea Treats"" Hamper Gift Box Coffee - Great for All Occasions to Include :- Birthday Thank You New Home",B01N8PE58E,gifthamperz,24.99,35,874.65,"22,007",6.32,2,4.1,112,5,0,gifthamperz,Hampers & Gourmet Gifts,Large Oversize,FBA,8.1x10.4x6.4,1.83,09-11-2016
"""Sang-HWA"" jujube Tea 500g",B005JX1V8I,Ottogi,9.99,21,209.79,"58,348",4.11,4,4.5,8,1,0,Starry Asian Market,Drinks,Large Oversize,MFN,3.4x5.4x3.2,1.65,13-08-2016
( 12 Pack ) Evian Still Natural Mineral Water Glass Bottle 750ml,B01EX18HWE,,24.25,178,"4,316.50","5,340",10.85,2,4.4,60,1,0,a2zdrinks Express Delivery,Drinks,Large Oversize,MFN,12.0x13.9x10.6,31.35,28-04-2016
( 12 Pack ) Evian Still Natural Mineral Water Glass Bottle 750ml,B01EX18HWE,,24.25,178,"4,316.50","5,340",10.85,2,4.4,60,1,0,a2zdrinks Express Delivery,Drinks,Large Oversize,MFN,12.0x13.9x10.6,31.35,28-04-2016
( 24 Pack ) Buxton Still Natural Mineral Water 24 x 50cl,B01EX15DNA,Buxton,12.99,247,"3,208.53","5,334",,11,4.7,201,1,4,TheWholesaleHub,Drinks,,MFN,,,28-04-2016
( 24 Pack ) Buxton Still Natural Mineral Water 24 x 50cl,B01EX15DNA,Buxton,12.99,247,"3,208.53","5,334",,11,4.7,201,1,4,TheWholesaleHub,Drinks,,MFN,,,28-04-2016
( 6 Pack) Alpro SOYA Milk Original - 1Ltr,B01DY4ZPWG,Alpro,15.79,15,236.85,"89,897",,2,4.4,27,1,0,Sweet Addicts,Fresh & Chilled,,MFN,,,07-04-2016
(1 Pack Super Save) Evian Still Mineral Water 500ml case of 24 (24 Bottles),B07DB2FK34,evian,15.10,423,"6,387.30","6,350",8.36,14,4.5,50,6,10,Shop In & Out,Drinks,,MFN,,22.71,25-05-2018
(1 Pack Super Save) Evian Still Mineral Water 500ml case of 24 (24 Bottles),B07DB2FK34,evian,15.10,423,"6,387.30","6,350",8.36,14,4.5,50,6,10,Shop In & Out,Drinks,,MFN,,22.71,25-05-2018
(10 PACK) - Dragonfly Tea - Earl Grey Rooibos Tea | 40 Bag | 10 PACK BUNDLE,B00V6I04FG,Dragonfly Teas,28.86,26,750.36,"56,602",7.32,8,5.0,18,1,0,SuperfoodUK,Drinks,Large Oversize,MFN,9.9x12.4x9.6,3.53,16-09-2015
